parameter,value,count,avg_score,avg_total_trades,avg_profit_factor,avg_total_return,avg_max_drawdown
left_bars,4.0,75,-2799.380685745769,99.81333333333333,1.831362976736566,6.850956933333311,-1.3141713651272153
left_bars,2.0,75,-2799.389131443194,89.6,1.8050613902601114,5.8896267999999825,-1.4551101270656568
left_bars,3.0,75,-2799.3920989468256,93.94666666666667,1.7609933845666876,6.055975066666636,-1.50608430633911
lookback_bars,24.0,45,-1999.4071665146437,149.64444444444445,2.0568769729196594,9.691005333333322,-1.31536763136885
lookback_bars,12.0,45,-1999.4250870047852,95.04444444444445,1.7567270876892767,6.393702666666633,-1.4985694081857694
lookback_bars,16.0,45,-1999.425855669112,121.82222222222222,1.7397758603764721,7.925815333333296,-1.5868704808253022
lookback_bars,8.0,45,-3999.321745756346,63.71111111111111,1.8004708014283608,4.833607555555531,-1.3286119175542457
lookback_bars,6.0,45,-3999.3566719480946,42.044444444444444,1.6418455301918395,2.4834671111111013,-1.3961902262858024
min_close_ratio,0.6,45,0.4903135758368827,200.73333333333332,1.8308185171039915,13.48117511111106,-1.9084181175440382
min_close_ratio,0.7,45,0.4716733569335533,136.86666666666667,1.7265031759771303,8.707351111111082,-1.6853383163707722
min_close_ratio,0.8,45,0.45428633810762575,89.93333333333334,1.7207129968674144,6.1156168888888605,-1.57961963120188
min_close_ratio,0.9,45,-3999.3528001638597,35.06666666666667,1.731365801591246,2.2050682222222133,-1.2321743046684122
min_close_ratio,1.0,45,-9999.0,9.666666666666666,1.9862957610658254,0.818386666666671,-0.7200592944348667
right_bars,3.0,75,-2799.376443572766,95.64,2.033301033485627,7.476951733333329,-1.3308691891807554
right_bars,4.0,75,-2799.3847023103162,77.74666666666667,1.6648023193346178,5.30860039999998,-1.3589958422038786
right_bars,2.0,75,-2799.400770252706,109.97333333333333,1.6993143987431198,6.0110066666666215,-1.5855007671473478
